,solar_cycle,date
5,Solar cycle 9,1843-12
6,Solar cycle 9,1844-01
7,Solar cycle 9,1844-02
8,Solar cycle 9,1844-03
9,Solar cycle 9,1844-04
10,Solar cycle 9,1844-05
11,Solar cycle 9,1844-06
12,Solar cycle 9,1844-07
13,Solar cycle 9,1844-08
14,Solar cycle 9,1844-09
15,Solar cycle 9,1844-10
16,Solar cycle 9,1844-11
17,Solar cycle 9,1844-12
18,Solar cycle 9,1845-01
19,Solar cycle 9,1845-02
20,Solar cycle 9,1845-03
21,Solar cycle 9,1845-04
22,Solar cycle 9,1845-05
23,Solar cycle 9,1845-06
24,Solar cycle 9,1845-07
25,Solar cycle 9,1845-08
26,Solar cycle 9,1845-09
27,Solar cycle 9,1845-10
28,Solar cycle 9,1845-11
29,Solar cycle 9,1845-12
30,Solar cycle 9,1846-01
31,Solar cycle 9,1846-02
32,Solar cycle 9,1846-03
33,Solar cycle 9,1846-04
34,Solar cycle 9,1846-05
35,Solar cycle 9,1846-06
36,Solar cycle 9,1846-07
37,Solar cycle 9,1846-08
38,Solar cycle 9,1846-09
39,Solar cycle 9,1846-10
40,Solar cycle 9,1846-11
41,Solar cycle 9,1846-12
42,Solar cycle 9,1847-01
43,Solar cycle 9,1847-02
44,Solar cycle 9,1847-03
45,Solar cycle 9,1847-04
46,Solar cycle 9,1847-05
47,Solar cycle 9,1847-06
48,Solar cycle 9,1847-07
49,Solar cycle 9,1847-08
50,Solar cycle 9,1847-09
51,Solar cycle 9,1847-10
52,Solar cycle 9,1847-11
53,Solar cycle 9,1847-12
54,Solar cycle 9,1848-01
55,Solar cycle 9,1848-02
0,Solar cycle 10,1855-12
1,Solar cycle 10,1856-01
2,Solar cycle 10,1856-02
3,Solar cycle 10,1856-03
4,Solar cycle 10,1856-04
5,Solar cycle 10,1856-05
6,Solar cycle 10,1856-06
7,Solar cycle 10,1856-07
8,Solar cycle 10,1856-08
9,Solar cycle 10,1856-09
10,Solar cycle 10,1856-10
11,Solar cycle 10,1856-11
12,Solar cycle 10,1856-12
13,Solar cycle 10,1857-01
14,Solar cycle 10,1857-02
15,Solar cycle 10,1857-03
16,Solar cycle 10,1857-04
17,Solar cycle 10,1857-05
18,Solar cycle 10,1857-06
19,Solar cycle 10,1857-07
20,Solar cycle 10,1857-08
21,Solar cycle 10,1857-09
22,Solar cycle 10,1857-10
23,Solar cycle 10,1857-11
24,Solar cycle 10,1857-12
25,Solar cycle 10,1858-01
26,Solar cycle 10,1858-02
27,Solar cycle 10,1858-03
28,Solar cycle 10,1858-04
29,Solar cycle 10,1858-05
30,Solar cycle 10,1858-06
31,Solar cycle 10,1858-07
32,Solar cycle 10,1858-08
33,Solar cycle 10,1858-09
34,Solar cycle 10,1858-10
35,Solar cycle 10,1858-11
36,Solar cycle 10,1858-12
37,Solar cycle 10,1859-01
38,Solar cycle 10,1859-02
39,Solar cycle 10,1859-03
40,Solar cycle 10,1859-04
41,Solar cycle 10,1859-05
42,Solar cycle 10,1859-06
43,Solar cycle 10,1859-07
44,Solar cycle 10,1859-08
45,Solar cycle 10,1859-09
46,Solar cycle 10,1859-10
47,Solar cycle 10,1859-11
48,Solar cycle 10,1859-12
49,Solar cycle 10,1860-01
50,Solar cycle 10,1860-02
0,Solar cycle 11,1867-03
1,Solar cycle 11,1867-04
2,Solar cycle 11,1867-05
3,Solar cycle 11,1867-06
4,Solar cycle 11,1867-07
5,Solar cycle 11,1867-08
6,Solar cycle 11,1867-09
7,Solar cycle 11,1867-10
8,Solar cycle 11,1867-11
9,Solar cycle 11,1867-12
10,Solar cycle 11,1868-01
11,Solar cycle 11,1868-02
12,Solar cycle 11,1868-03
13,Solar cycle 11,1868-04
14,Solar cycle 11,1868-05
15,Solar cycle 11,1868-06
16,Solar cycle 11,1868-07
17,Solar cycle 11,1868-08
18,Solar cycle 11,1868-09
19,Solar cycle 11,1868-10
20,Solar cycle 11,1868-11
21,Solar cycle 11,1868-12
22,Solar cycle 11,1869-01
23,Solar cycle 11,1869-02
24,Solar cycle 11,1869-03
25,Solar cycle 11,1869-04
26,Solar cycle 11,1869-05
27,Solar cycle 11,1869-06
28,Solar cycle 11,1869-07
29,Solar cycle 11,1869-08
30,Solar cycle 11,1869-09
